"date","close","sma_20","z_score","signal"
"2022-01-03","178.6456756591797","178.6456756591797","0","HOLD"
"2022-01-04","176.37832641601562","177.51200103759766","-1","HOLD"
"2022-01-05","171.6866912841797","175.57023111979166","-1.3401278044464715","BUY"
"2022-01-06","168.82069396972656","173.8828468322754","-1.3140644542463393","BUY"
"2022-01-07","168.98751831054688","172.90378112792968","-0.988175183614151","HOLD"
"2022-01-10","169.00718688964844","172.2543487548828","-0.8329492581330532","HOLD"
"2022-01-11","171.84375","172.19569178989954","-0.09743499894996215","HOLD"
"2022-01-12","172.2854461669922","172.20691108703613","0.02324272539140944","HOLD"
"2022-01-13","169.00718688964844","171.85138617621527","-0.8514018327909926","HOLD"
"2022-01-14","169.8709259033203","171.6533401489258","-0.5527911101614403","HOLD"
"2022-01-18","166.66136169433594","171.19952392578125","-1.3375897227812386","BUY"
"2022-01-19","163.15733337402344","170.52934137980142","-1.8729530329572477","BUY"
"2022-01-20","161.46913146972656","169.83240215594952","-1.8640664613328721","BUY"
"2022-01-21","159.40794372558594","169.08779798235213","-1.9020666619749313","BUY"
"2022-01-24","158.63255310058594","168.39078165690105","-1.7533587605564072","BUY"
"2022-01-25","156.8265380859375","167.66801643371582","-1.785366349232889","BUY"
"2022-01-26","156.73825073242188","167.02508903952207","-1.6003245938471398","BUY"
"2022-01-27","156.27691650390625","166.42796834309897","-1.5118071633930692","BUY"
"2022-01-28","167.18157958984375","166.46763209292763","0.10920644156432247","HOLD"
"2022-01-31","171.54930114746094","166.7217155456543","0.7464269984864901","HOLD"
"2022-02-01","171.38246154785156","166.3585548400879","0.8411236887018184","HOLD"
"2022-02-02","172.58970642089844","166.16912384033202","1.1251954602164498","SELL"
"2022-02-03","169.7040252685547","166.0699905395508","0.6459201206363289","HOLD"
"2022-02-04","169.41903686523438","166.09990768432618","0.5882632334937486","HOLD"
"2022-02-07","168.70164489746094","166.0856140136719","0.46422408837760754","HOLD"
"2022-02-08","171.81698608398438","166.22610397338866","0.9739525395765475","HOLD"
"2022-02-09","173.2420196533203","166.2960174560547","1.1942079132818741","SELL"
"2022-02-10","169.15370178222656","166.1394302368164","0.529384004332831","HOLD"
"2022-02-11","165.73367309570312","165.97575454711915","-0.04280038130757299","HOLD"
"2022-02-14","165.96954345703125","165.7806854248047","0.03381408560804939","HOLD"
"2022-02-15","169.81214904785156","165.93822479248047","0.6854263548675432","HOLD"
"2022-02-16","169.57627868652344","166.25917205810546","0.5853321146613527","HOLD"
"2022-02-17","165.96954345703125","166.48419265747071","-0.09255053724562284","HOLD"
"2022-02-18","164.416748046875","166.73463287353516","-0.4336540070084526","HOLD"
